,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27
62,Custer County,38.1055194,-105.2752917,0.002638109191374,0.0040595067243381,0.0060658019621982,0.008824433864554,0.0125221933671664,0.0173541231082734,0.0235048127423023,0.0311211672005499,0.0402776549428802,0.0509384349669145,0.0629254288690351,0.1935500143361489,0.1568692382478623,0.152047445869325,0.1446435974251914,0.3328707711402299,0.3253169971070483,0.4617669145380682,0.0953972907337845,0.025513171887618,0.0315797127861982,0.0381310869857195,0.0448480463523602,0.0513159339246207,0.0570835719737275,0.061760071178792,0.0651272394774644
63,Dawson County,47.1804594,-105.0375055,2.419518194683169e-07,4.7640483199920353e-07,8.856096902343047e-07,1.566928431773468e-06,2.656020923077996e-06,4.336029338573944e-06,6.847096808397014e-06,1.0495294653020657e-05,1.5659362003768657e-05,2.27927041448842e-05,3.241685091123064e-05,4.510115668637402e-05,6.142226088673274e-05,8.189641057056105e-05,0.0002148822192796,0.0004738764410558,0.0004435853553781,0.0006237083772987,0.00060701374539,8.724481293461769e-05,0.0001094000701737,0.0001344179715331,0.0001618675591309,0.0001912377255509,0.0002221551156459,0.0002546713144185,0.0002895092056001
64,Mercer County,47.15958973,-102.0734343,2.2697007537714915e-05,4.215223091737495e-05,7.421237979236685e-05,0.0001248710705396,0.0002020710664027,0.0003160313627857,0.0004795112402031,0.0007079280547009,0.0010192003133853,0.0014331302817081,0.001970077744719,0.0026486269792752,0.0034819497356264,0.0044726808549518,0.0208969345140139,0.0546181514217468,0.0072524189479931,0.0102342459461001,0.0072969250947951,0.0008656532099104,0.0010918770265823,0.0013681837481764,0.0017158880927482,0.0021754597892768,0.0028202615197596,0.0037759775376224,0.0052461261368976
65,Eddy County,47.70645859,-99.03324693,2.919155551607159e-05,5.423665377193609e-05,9.55224845094197e-05,0.0001607762048924,0.0002602376178989,0.0004070796258772,0.0006177465994169,0.0009121031061392,0.0013132270780198,0.0018466074287207,0.0025384248087655,0.0034125287611289,0.0044857221167825,0.0057611036694973,0.026820545556934,0.0700515917575027,0.0097083755987816,0.0136987718979221,0.009622260246497,0.0009303936621866,0.0011215750625456,0.0013154147621414,0.0014989702528753,0.0016592617694894,0.0017879422017249,0.0018877120728538,0.001979211474413
66,Hughes County,44.48283152,-99.79847762,4.403023504754799e-05,8.178844559101486e-05,0.0001440122046185,0.0002423286406608,0.0003921396701243,0.0006132516886519,0.0009303810849844,0.0013733735980409,0.0019768876829243,0.0027791806355751,0.0038195140514377,0.0051335972646948,0.0067464848512851,0.0086625571776696,0.040416004875541,0.1056076914649809,0.0147688074393899,0.0208595001723258,0.0131470183000147,0.0013555960502461,0.0016424414680097,0.0019374739444832,0.0022220563774535,0.0024760288097976,0.0026831164600477,0.0028381657821395,0.0029541479284524
67,Morrill County,41.74325238,-102.6958257,5.198698781840068e-06,9.646758949322742e-06,1.6970259774113474e-05,2.853273628626884e-05,4.6139559223700286e-05,7.211147820458468e-05,0.000109343556329,0.0001613304948909,0.0002321290518547,0.0003262152232454,0.0004481796124157,0.0006021931062988,0.0007911750066495,0.0010156212641776,0.0047929327849605,0.0125521048086414,0.0015373508537084,0.0021686812842101,0.0015470434497217,0.0001800172136781,0.0002203390108637,0.0002630901270054,0.0003061724765323,0.0003472334067602,0.0003842809238926,0.000416515934841,0.0004451308063843
68,Grant County,47.4129124,-119.5470861,1.0256128348563345e-05,1.5926660823462434e-05,2.4044861179443124e-05,3.53762842575151e-05,5.08127722367649e-05,7.136493515721434e-05,9.819713245165226e-05,0.0001327907059588,0.0001773591414814,0.0002356737309954,0.0003144926626057,0.0009781792609241,0.0006781843708946,0.0008910766735659,0.0020325942415492,0.0047038327876843,0.0028628459597778,0.0045668900907281,0.0065922170916969,0.0088098281707326,0.0134422532457043,0.0200472410021757,0.0292778269971577,0.0419352822558124,0.0589754395281824,0.0814987480960972,0.1107128569101653
69,Valley County,41.52161835,-99.18350983,2.433576893608256e-05,4.56313084600789e-05,8.111124619102476e-05,0.0001377674820486,0.0002249783789715,0.000354952094905,0.0005431153020352,0.0008083555455631,0.0011729735406066,0.0016621341520285,0.0023025274887487,0.003119882415391,0.0041349520194001,0.0053576807326292,0.0224738589084105,0.0573998693968159,0.0118092566718196,0.0165274610276325,0.0213309793940201,0.0019818212438894,0.0023805197155071,0.0027781270420333,0.0031428765461501,0.0034402731992086,0.0036412523179658,0.0037328611766738,0.0037280912168094
70,Cass County,40.93518639,-96.34583201,2.4456662841767047e-05,4.5736535500568005e-05,8.10419772725265e-05,0.0001371737081932,0.0002232206524237,0.0003511520196246,0.0005369505047809,0.0008029710034432,0.0011824338966264,0.0017271081313824,0.0025193436081826,0.0036897055451277,0.0054415875295624,0.0080843980954318,0.0277522475902821,0.0670607690344129,0.030853636038186,0.0481151076818561,0.0582507431600651,0.0755308284901651,0.1151408769417954,0.1715295342070528,0.2501741997616395,0.3577317923220923,0.5020353265676086,0.6919207264547991,0.9367749713835776
71,Beltrami County,48.02901973,-95.4795737,1.8256962845299909e-06,3.810340432178096e-06,7.476258097146629e-06,1.3889143722363965e-05,2.458934326679418e-05,4.172300542310951e-05,6.818546461763436e-05,0.0001077687655485,0.0001652982809389,0.0002467327762786,0.0003591872817083,0.0005108186946171,0.0007104918179193,0.0009671234590364,0.0019703542429991,0.003810222602895,0.0035231206332368,0.0047914045041024,0.0162503166607285,0.0016769462336849,0.0020395946987882,0.0024177983560802,0.0027908687178063,0.0031369552883082,0.0034398937654098,0.0036984002249779,0.0039351874346407
72,Aitkin County,46.26358649,-93.66377494,0.0001335987943387,0.0002871939564839,0.0005745993629327,0.0010813579982949,0.0019309736790829,0.0032952426282597,0.0054054472213283,0.0085637065657356,0.0131532020434268,0.0196451185258758,0.0285988927744024,0.0406507229891109,0.0564833887288783,0.0767686524977375,0.1231076926754915,0.198438280330626,0.4698826302452636,0.6540516768240172,1.0600865966444504,0.1090608980443257,0.1309053611444051,0.1525238698958108,0.172025511460544,0.1872881253580535,0.1963872570138435,0.1981786760808764,0.1928634076939669
73,Lyon County,44.42138655,-95.74181715,1.1689577722654829e-05,2.539289233303453e-05,5.158191451776385e-05,9.867029146840645e-05,0.0001789972279301,0.0003099470468121,0.0005151770304172,0.0008258882584409,0.0012820190765412,0.0019331556582825,0.0028388303122159,0.0040677110511572,0.0056949819294782,0.0077970025365488,0.0146323110201377,0.0267686612164741,0.0187805745525557,0.0243380230945248,0.1695531805707555,0.0144860210064737,0.0171606457309998,0.0196719802759209,0.0217332507646233,0.0230329806829161,0.0233012856294256,0.0223974579856739,0.0203930518469542
74,Sac County,42.41935156,-95.02634463,1.212203961164333e-05,2.283881326115398e-05,4.080502793981938e-05,6.967807564308325e-05,0.0001144099173384,0.0001815083403871,0.000279279965682,0.0004180099926685,0.0006100070316117,0.0008694061334115,0.0012115818048041,0.0016519838550054,0.0022041909654788,0.0028770130237734,0.0113331458065885,0.0285126324530648,0.0070912726760653,0.009906271606705,0.0130615968503468,0.0019429930388889,0.0023989248783125,0.0028960022808145,0.003419219034315,0.0039545122042588,0.0044976303686697,0.0050669924060154,0.0057187672368213
75,Rusk County,45.46791696,-91.39624127,2.386535622470601e-05,3.86402106962514e-05,6.0927653161647565e-05,9.38266670987266e-05,0.0001413794115249,0.0002087038918909,0.0003020827816674,0.000428983363798,0.0005979874702463,0.0008186234624989,0.001101115790379,0.0016310101340504,0.0033482334306535,0.0035706086578269,0.0041674379884534,0.0084984816639829,0.0052145357454066,0.0069987301146906,0.0281071030423397,0.004159808185283,0.0051164347835988,0.0061398440683566,0.0071807738592886,0.0081802721988304,0.0090818299698576,0.0098486934441425,0.0104812278166201
76,Chaves County,33.48134861,-103.9155591,0.000707977622082,0.001128163169736,0.0017411370203717,0.0026111263797602,0.0038142198236211,0.0054364895341534,0.0075696758765869,0.0103037086184992,0.0137156397573437,0.0178552993126829,0.0227292613526649,0.0286454408283659,0.0859939764446849,0.0817257255309069,0.0474366081007008,0.0944194055332291,0.2219165457444492,0.3159824822117675,0.0187552069997383,0.0027808397571315,0.0034476365260763,0.0041776852482573,0.0049453244675899,0.0057195618600284,0.006471465636139,0.0071844461014164,0.0078639836953259
77,Randall County,34.85870122,-101.7896096,4.626822801838697e-05,7.836834461017811e-05,0.0001282205797439,0.000203316781028,0.0003133061536188,0.0004702360819233,0.0006886596429538,0.0009855187175789,0.0013796888918898,0.0018910567506185,0.0025389997075862,0.0034138084445013,0.0063869641665402,0.0070807169168412,0.0178558845512528,0.0445925370028072,0.0150309003222718,0.0211431728745698,0.0199625053819759,0.0021388086180158,0.0026220211642128,0.0031384128889676,0.0036658831939051,0.0041805913857633,0.0046644387301169,0.0051147779371435,0.0055530673195815
78,Texas County,36.74873009,-101.5000045,2.3060249304500836e-08,4.469114243415803e-08,8.252357212704388e-08,1.4613686440926066e-07,2.494517378388039e-07,4.121963134970138e-07,6.617557982150654e-07,1.0354785233288476e-06,1.5834803909412116e-06,2.3719251842226998e-06,3.486660256211516e-06,5.036963723683691e-06,7.15903466389856e-06,1.0018782719553402e-05,2.7656154589508936e-05,6.202226884065262e-05,2.777780774026806e-05,3.907822011449149e-05,7.404679306799088e-05,4.254039155267918e-05,5.747936090233001e-05,7.651144677971946e-05,0.0001003901454843,0.0001299293975025,0.0001660048948022,0.0002095442908636,0.0002614745650805
79,Wasco County,44.87742596,-120.8593635,0.0007144192138826,0.0011073967353965,0.0016684658584249,0.0024502407860227,0.0035142776738128,0.0049293186427096,0.0067677554855027,0.0091000854383208,0.0119876210742739,0.0154745926339964,0.0195820093519255,0.0506269597251579,0.0542873643282429,0.0541001033735475,0.0453608611128039,0.0928508814649144,0.0937818898043017,0.1307102062143425,0.2517177104687588,0.0382307354455885,0.0496181246003482,0.0633999601652783,0.0798318125958843,0.0992075357380736,0.1219159011129197,0.1484950320359769,0.1796333953010268
80,Cleveland County,35.30086027,-97.47670229,3.0055581559995844e-06,6.720935099453086e-06,1.394236302219938e-05,2.710025172774483e-05,4.982183512647845e-05,8.740240137382033e-05,0.0001475911101495,0.0002419774605571,0.0003883492732634,0.0006144461826926,0.0009635618832622,0.0015024559226817,0.0023320233619246,0.0036011433724061,0.0061657540861618,0.0104067271385862,0.0156027176117262,0.0232466654312588,0.0642690475439849,0.0352303531119865,0.0519829593503653,0.0753298575163551,0.1073051368366062,0.1503680159652166,0.2074060231717604,0.2816744960710078,0.3766239195476658
81,Rogers County,36.28372003,-95.63163853,2.9013683103494214e-07,5.685153174553898e-07,1.065229821627548e-06,1.943867153571541e-06,3.565828397863505e-06,6.8304701383268505e-06,1.3956974448822033e-05,3.0033462390310094e-05,6.573973032059759e-05,0.000141714011693,0.0002950881583532,0.0005887617104687,0.001124022487636,0.0020571450157527,0.0037879260754513,0.0066722422503226,0.010171798152259,0.0162641920526474,0.0255808943177541,0.0379856777643553,0.0564998477519623,0.0822992733963511,0.1175558896091547,0.1648212111496808,0.2269687075611356,0.3070478370861829,0.4080063548578043
82,Logan County,38.7673038,-101.0284679,3.972015760476884e-06,7.429925654793652e-06,1.3171569645037812e-05,2.236802106973351e-05,3.68488746772755e-05,5.979065567483146e-05,9.70861327310345e-05,0.0001597357630751,0.0002676440847381,0.0004552370827036,0.0007793432167197,0.0013298027303742,0.0022432891011951,0.003720844180369,0.0085568015280902,0.0174628167431887,0.0159843432411827,0.0246947463247692,0.0331639491573481,0.0483500189969665,0.0705846987176487,0.1009993185836961,0.1418033711569561,0.1954830971451247,0.2646710993664429,0.3518974450075258,0.4591760619350826
83,McPherson County,38.39197065,-97.48884753,4.841058998029646e-05,9.01380760846668e-05,0.0001591702019973,0.0002687731663784,0.0004369356437353,0.0006878570729881,0.0010541875183279,0.0015804081427155,0.0023277653257287,0.0033811450058941,0.0048582186171816,0.0069211470458436,0.0097911673855016,0.0137666286075432,0.0516285335863139,0.1279323439442357,0.0357202772657111,0.0536274766418656,0.0674206499716085,0.0728541983957423,0.1067849223529442,0.1535158745429901,0.2166861706324421,0.3005124908440537,0.4096639850993334,0.5489769120317104,0.7229297687602081
84,Caldwell County,39.68010457,-93.93551551,7.83218124297092e-05,0.0001372735439996,0.0002312762759831,0.0003760850564085,0.0005923287443646,0.0009062165580798,0.0013500293855199,0.0019621939396861,0.0027866553003284,0.0038711707958392,0.00526406024698,0.0074461787796349,0.0109347882333783,0.013061839593421,0.0460923309862969,0.1179370940232022,0.0250002513529158,0.0350889947172737,0.0381164326271653,0.0035905605183823,0.0043203876087087,0.0050527401271784,0.0057313527102301,0.0062948346624687,0.0066910634904455,0.0068960338284528,0.0069311471667428
85,Dade County,37.39648815,-93.63067538,6.374150019900861e-05,0.0001134874784431,0.0001932919589707,0.0003166690347064,0.0005012707321777,0.0007694740425075,0.0011487772652989,0.0016718221971331,0.0023757763912436,0.0033007142020059,0.0044865435848296,0.0060001940585407,0.0089577136019863,0.0108241297837554,0.0455999373912962,0.1199306779662123,0.0081458650646423,0.0113078013023009,0.0230079632806912,0.0023834109567263,0.0029790242510773,0.0036611539617669,0.0044345292649604,0.0053162170856004,0.0063498762242261,0.0076245529663206,0.0092950051364617
86,Johnson County,35.49289456,-93.59063588,2.4634411539357047e-06,4.93363739883378e-06,9.349954959001922e-06,1.6879007493804255e-05,2.9188640504415516e-05,4.8583502623103286e-05,7.815202493428324e-05,0.000121915207919,0.0001849598772918,0.0002735276503871,0.0003950153140398,0.0005578232376838,0.0007709685690659,0.0010433657460568,0.0025622754068266,0.0054792114953599,0.0036584167891561,0.0050191544686225,0.0128690875058621,0.0018668995923952,0.0023014253779666,0.0027697092747777,0.0032513461371821,0.0037220363848838,0.004159014720212,0.0045487569968007,0.004894726958234
87,Marion County,32.86217276,-94.5241288,4.259778599385068e-05,6.395706587497195e-05,9.330532098122546e-05,0.000132570538953,0.0001837246192149,0.0002485582043571,0.0003283488556656,0.0004234281438991,0.0005326939930233,0.0006531775195093,0.0007798492927406,0.004040563610736,0.0008374075846002,0.0008660157652888,0.0011911590270214,0.0027232665723783,0.0022108683599282,0.003119824708836,0.00238382254806,0.0003993063844516,0.0005147481891009,0.0006557812895932,0.0008290298965918,0.001046376237611,0.0013295576733035,0.0017172523589428,0.0022753042576342
88,St. Landry Parish,30.84054963,-92.01150228,0.0002244148095142,0.0003578063485601,0.0005561453005,0.0008442753090936,0.0012536186055063,0.0018228052228695,0.0025979834911591,0.0036327116227091,0.0049873813234746,0.0067282131712303,0.0089259574067255,0.0253392160438935,0.0126987227748756,0.0166961110374764,0.0591039978942166,0.1451590209114506,0.0572535388449544,0.0810958916443281,0.0403493907729988,0.0257965049404318,0.0342314161404965,0.0447117595466236,0.0575153539090288,0.0729219575492125,0.09122644427091,0.1127563484630932,0.1378730865619933
89,El Paso County,31.77308956,-106.2230818,4.73485909347458e-05,8.045662394784026e-05,0.0001319174142183,0.0002093898642409,0.0003226785494164,0.0004839711705722,0.0007079889869191,0.0010120182343341,0.001415782391457,0.0019411022823256,0.0026112824684186,0.0044904516782612,0.004988701308997,0.0060884196954116,0.0255203269498849,0.0671090226162815,0.0043827186432247,0.0064793313190845,0.0133321480532597,0.0074188726341262,0.0110520188782909,0.0161828001740547,0.0233172568639302,0.0330962012552838,0.0463181111501908,0.0639575842540839,0.087171830875343
90,Douglas County,42.80834786,-122.7941288,0.0001097228467015,0.0001760751269991,0.0002748977479519,0.0004187689669134,0.0006237200460797,0.0009096229804809,0.0013004648520435,0.0018245085009595,0.0025143961169974,0.0034073539068834,0.0045458097289356,0.0071158582564283,0.0142887035997921,0.0150999095576424,0.0159415345737817,0.0319032529936377,0.0264764978166287,0.0368175501449911,0.1121300620960665,0.0242001455568948,0.0328481536681224,0.0440049536135284,0.0582293244521567,0.0761834550490023,0.0986532141377488,0.1265525798645328,0.1608804386942007
91,King County,33.42197646,-100.4747257,4.344680991924803e-05,9.568450422089796e-05,0.0001983223645874,0.000388467263351,0.0007228253588076,0.0012845579343468,0.0021915896258021,0.0036065257720351,0.0057482056292335,0.0089046313725755,0.0134465256683943,0.0198952732798021,0.0289531808311921,0.0408059009073988,0.0583137905959365,0.0832297302196877,0.2134027342677201,0.2978763518933444,0.3339793792290749,0.1707479631067775,0.2205750252695537,0.2799372163264383,0.3491587582326451,0.4283664937096545,0.5177431804102888,0.6179290053933768,0.7304331335140658
92,Pecos County,30.79490767,-102.5121274,0.0002183351976163,0.0004426880144746,0.00085121280307,0.00156056049057,0.0027412092456164,0.0046339676907858,0.0075691481017398,0.0119880704243022,0.0184659019010583,0.0277337842130391,0.0406966773558696,0.0584781771914377,0.0827418762513364,0.1138524508533585,0.2439734048134143,0.4868666419904957,0.4350763042523822,0.6011563593195293,1.252731756437506,0.3272191018793178,0.4189298847845285,0.5264982752429592,0.6497353278789468,0.7879860888627475,0.94062239918312,1.1077543516422617,1.2908413039194675
93,Ector County,31.77998214,-102.3887614,2.888984444456678e-05,7.117882698991278e-05,0.0001637011154833,0.0003500152659896,0.0006994729894838,0.0013168185778849,0.0023536149030625,0.0040214184003886,0.0066063890310322,0.0104846111644557,0.0161367302645815,0.0244540661601561,0.0354622122794653,0.0504392611337712,0.0711460315389979,0.0991753048779623,0.1296621803034634,0.1700979636063228,0.6234097342537603,0.22708020101967,0.2802508337323705,0.3369934234958783,0.3940361747980463,0.4470891254235788,0.4913570684236455,0.5224360111762899,0.5374211047793761
94,Johnson County,32.37182664,-97.11815228,0.0001793113242715,0.0003112546193182,0.0005289655924925,0.0008806215921187,0.0014359269402006,0.0022927501157474,0.0035847777851419,0.0054900548597318,0.0082401378385613,0.0121293880685535,0.0175236449165676,0.0257968957760789,0.0430226542769057,0.0541458609549084,0.0872659521891865,0.1643430894002286,0.1647724107849967,0.2270557574193031,0.3903518601952818,0.1678591874696509,0.2135084370258755,0.2660552975038924,0.3246944356608419,0.388083533214609,0.4545392289721759,0.5223931176143493,0.5903920446100245
95,Hays County,30.14290618,-98.02819061,0.0003974813294922,0.0006208440728845,0.0009391205805318,0.0013809632672033,0.0019794687500239,0.0027709520575899,0.0037925133509313,0.0050781350466872,0.0066533200724525,0.0085288474154298,0.0106951340384229,0.0131981026991549,0.0474176432254972,0.0435926534595641,0.012386820596708,0.0211202312492661,0.0268713509172442,0.0368409459985839,0.0545971222870487,0.0305453164070218,0.0383820478791907,0.0471699323177677,0.0566635682926698,0.0665278420855632,0.0764090341443859,0.0860593652034723,0.095499148309766
96,McMullen County,28.14593418,-98.36237296,0.0014851195960568,0.0022838093547257,0.0034124353746187,0.0049663315653407,0.0070522459598229,0.0097823316611421,0.0132640238003497,0.0175853456318968,0.022796227272829,0.0288881926385354,0.0357771069171917,0.1244240153054246,0.068561482724054,0.0700181048543789,0.1250748514330805,0.3121972570602299,0.1519159596683742,0.2162137755830493,0.0173615195492093,0.0074092643299554,0.0095858323360455,0.0121825741232634,0.0152139197348295,0.018683266750311,0.0225911089287305,0.0269482010234215,0.031788292475139
97,Tyler County,30.68456443,-94.49850005,2.708064766725892e-05,4.2728640351509504e-05,6.528940961963926e-05,9.695153415177716e-05,0.0001402712490927,0.0001980970708168,0.0002734179507962,0.0003691225983535,0.0004876755080863,0.0006307506773969,0.0007989212165112,0.0010237978552367,0.0032279535136404,0.00304274487968,0.0017383318422838,0.003702106066666,0.004040832330507,0.0057514703810555,0.0048285220414432,0.0020905136386497,0.0029165239534462,0.0040156706156204,0.0054616344354411,0.0073454771220978,0.0097802796350253,0.0129064890347177,0.0168969257703329
98,Brazoria County,29.5703565,-95.42461309,7.852789634137096e-05,0.0001343278408841,0.0002234094058764,0.0003621648609204,0.0005735617736489,0.0008896916023401,0.0013557977561698,0.0020366657012708,0.0030264446740961,0.0044631089966114,0.0065488772361345,0.0098081390456994,0.0177254022301217,0.0232934629284913,0.0419441691383684,0.0845609301239998,0.0844289754178411,0.1240556838834508,0.1756808586743286,0.1493815865508987,0.2150366413246773,0.3043106934639122,0.423667595465396,0.5806132352312976,0.7835470118523021,1.041369540456169,1.3626950959274755
99,Blue Earth County,43.85294596,-93.84641518,1.0065998114602571e-05,2.161896198178672e-05,4.323325037944375e-05,8.133687156617197e-05,0.000145204039796,0.0002477255165806,0.0004062415249299,0.0006433841210917,0.0009878326863072,0.0014748203857525,0.0021461357570582,0.0030492408522257,0.0042349847336608,0.005753258260399,0.0094353233432158,0.0155270282572645,0.0333431052668868,0.046295435915889,0.085147321780573,0.0079677141259788,0.0095339659517313,0.0110694989814175,0.012435171353896,0.0134780082917004,0.0140642538491965,0.0141231797039394,0.013688226709266
100,Chickasaw County,42.91269261,-92.11168489,4.735504203249653e-06,9.060261980416818e-06,1.6402134960416066e-05,2.8336039936671887e-05,4.706221894914944e-05,7.565709200982383e-05,0.000118467846257,0.0001817095279837,0.0002743228610712,0.0004091451975468,0.0006044368062641,0.0008857929228171,0.0012884648739962,0.001860122388571,0.0052653264336272,0.0119106480227474,0.0083395963352394,0.0122227259344285,0.0128927258850392,0.011066571070265,0.0160209050069245,0.0227590622524175,0.0317546244106074,0.0435408369750721,0.0586843196805912,0.0777335850784054,0.1011313990249571
101,Harney County,43.19860125,-118.790355,0.0001075290332219,0.0001767567681155,0.0002824081644716,0.0004397404352875,0.0006686293950887,0.0009942275090224,0.0014474303771826,0.0020650335089417,0.0028894676057621,0.0039680420653714,0.0053517115190916,0.007291419728741,0.0161898585279883,0.0173500221732851,0.015083750752741,0.0245204643862873,0.0841070700133252,0.1193027010588655,0.0276845670755441,0.0164946070973801,0.0212894683480544,0.0269826624194846,0.0335888566565955,0.041093834192026,0.0494748924019973,0.058735892648709,0.0689458863613051
