name,latitude (deg),longitude (deg),area cost factor
"Long Beach, Los Angeles County, California",33.7981,-118.1675,0.9380528649072547
"Port St. Lucie, Saint Lucie County, Florida",27.2796,-80.3883,0.734513092333039
"Denton, Denton County, Texas",33.2176,-97.1419,0.769911313650294
"Madison, Dane County, Wisconsin",43.0826,-89.3931,0.964601530895196
"Reno-Redwood Mat, Washoe County, Nevada",39.5497,-119.8483,1.0442475288590194
"Harrisburg, Dauphin County, Pennsylvania",40.2752,-76.8843,0.9469024202365685
"Little Rock, Pulaski County, Arkansas",34.7256,-92.3576,0.7522122029916665
"Oakland, Alameda County, California",37.7903,-122.2165,1.0353979735297054
"Durham, Durham County, North Carolina",35.9794,-78.9031,0.7876104243089214
"Winston-Salem, Forsyth County, North Carolina",36.1029,-80.2611,0.7876104243089214
"Bonita Springs, Lee County, Florida",26.3559,-81.7861,0.734513092333039
"Indio, Riverside County, California",33.7346,-116.2346,1.0353979735297054
"Palm Coast, Flagler County, Florida",29.5392,-81.246,0.734513092333039
"Chattanooga, Hamilton County, Tennessee",35.0657,-85.2488,0.7433626476623527
"Spokane, Spokane County, Washington",47.6671,-117.433,0.991150196883137
"Syracuse, Onondaga County, New York",43.0409,-76.1438,0.9380528649072547
"Lancaster, Los Angeles County, California",34.6935,-118.1753,1.0353979735297054
"Arlington, Tarrant County, Texas",32.6998,-97.125,0.8141590902968625
"Stockton, San Joaquin County, California",37.9765,-121.3109,1.0353979735297054
"Poughkeepsie, Dutchess County, New York",41.6949,-73.921,0.9380528649072547
"Augusta, Richmond County, Georgia",33.3645,-82.0708,0.769911313650294
"Boise, Ada County, Idaho",43.6007,-116.2312,0.9380528649072547
"Oxnard, Ventura County, California",34.1963,-119.1815,1.0353979735297054
"Scranton, Lackawanna County, Pennsylvania",41.4044,-75.6649,0.9469024202365685
"Modesto, Stanislaus County, California",37.6374,-121.0028,1.0353979735297054
"Kissimmee, Osceola County, Florida",28.3042,-81.4164,0.734513092333039
"Aurora, Arapahoe County, Colorado",39.7087,-104.7273,0.9026546435899996
"Youngstown, Mahoning County, Ohio",41.0993,-80.6463,0.9469024202365685
"Fayetteville, Cumberland County, North Carolina",35.0846,-78.9776,0.7876104243089214
"Anaheim, Orange County, California",33.839,-117.8572,1.0353979735297054
"Pensacola, Escambia County, Florida",30.4427,-87.1886,0.734513092333039
"Victorville, San Bernardino County, California",34.5277,-117.3536,1.0353979735297054
"Greensboro, Guilford County, North Carolina",36.0956,-79.8269,0.7876104243089214
"Corpus Christi, Nueces County, Texas",27.726,-97.3755,0.769911313650294
"Fort Wayne, Allen County, Indiana",41.0886,-85.1437,0.769911313650294
"Santa Ana, Orange County, California",33.7366,-117.8819,1.0353979735297054
"Flint, Genesee County, Michigan",43.0235,-83.6922,0.9203537542486271
"Jackson, Hinds County, Mississippi",32.3163,-90.2124,0.7964599796382351
"Santa Rosa, Sonoma County, California",38.4458,-122.7067,1.0353979735297054
"Lansing, Ingham County, Michigan",42.7142,-84.5601,0.9203537542486271
"San Juan, , Puerto Rico",18.4037,-66.0636,0.769911313650294
"Lexington, Fayette County, Kentucky",38.0423,-84.4587,0.769911313650294
"Ann Arbor, Washtenaw County, Michigan",42.2755,-83.7312,0.9203537542486271
"Henderson, Clark County, Nevada",36.0133,-115.038,1.0442475288590194
"Huntsville, Madison County, Alabama",34.6988,-86.6412,0.7610617583209801
"Mobile, Mobile County, Alabama",30.6783,-88.1162,0.7610617583209801
"Fort Collins, Larimer County, Colorado",40.5478,-105.0656,0.9026546435899996
"Asheville, Buncombe County, North Carolina",35.5704,-82.5536,0.7876104243089214
"Santa Clarita, Los Angeles County, California",34.4175,-118.4964,1.0353979735297054
"St. Paul, Ramsey County, Minnesota",44.9477,-93.104,0.964601530895196
"Antioch, Contra Costa County, California",37.9789,-121.7958,1.0353979735297054
"Lakeland, Polk County, Florida",28.0556,-81.9545,0.734513092333039
"Trenton, Mercer County, New Jersey",40.2236,-74.7641,1.0353979735297054
"Lincoln, Lancaster County, Nebraska",40.809,-96.6788,0.8230086456261763
"Sung Eel MCC-Endicott, Broome County, New York",42.10454976,-76.04442956,0.9380528649072547
"Battery Resourcers-Covington, Newton County, Georgia",33.60025094,-83.86304252,0.769911313650294
"Li-Cycle-Tuscaloosa, Tuscaloosa County, Alabama",33.39054306,-87.6107107,0.7610617583209801
"Li-Cycle-Gilbert, Maricopa County, Arizona",33.33096888,-111.693492,0.8230086456261763
"ABTC-Fernley, Lyon County, Nevada",39.61304429,-119.2513966,1.0442475288590194
"LiNiCoComstock-McCarran, Storey County, Nevada",39.52810644,-119.4909157,1.0442475288590194
"OnTo Tech-Bend, Deschutes County, Oregon",44.09565694,-121.305861,0.991150196883137
"Redwood Mat-Carson City, , Nevada",39.19972977,-119.735956,1.0442475288590194
"Retriev-Lancaster, Fairfield County, Ohio",39.71362202,-82.54437661,0.8230086456261763
