name,latitude (deg),longitude (deg),area cost factor
Mesa,33.4017,-111.718,1.0660377358490565
Palm Bay,27.955,-80.6627,0.7830188679245282
Provo,40.2457,-111.6457,0.9716981132075472
Worcester,42.2705,-71.8079,1.1037735849056602
Murrieta,33.572,-117.1909,1.1037735849056602
Greenville,34.8353,-82.3647,0.8679245283018867
Wichita,37.6896,-97.3442,0.9528301886792453
Toledo,41.6639,-83.5822,0.8773584905660378
Staten Island,40.5834,-74.1496,1
Des Moines,41.5725,-93.6105,0.9528301886792453
Long Beach,33.7981,-118.1675,1
Port St. Lucie,27.2796,-80.3883,0.7830188679245282
Denton,33.2176,-97.1419,0.8207547169811321
Madison,43.0826,-89.3931,1.028301886792453
Reno-Redwood Mat,39.5497,-119.8483,1.1132075471698113
Harrisburg,40.2752,-76.8843,1.009433962264151
Little Rock,34.7256,-92.3576,0.8018867924528301
Oakland,37.7903,-122.2165,1.1037735849056602
Durham,35.9794,-78.9031,0.8396226415094339
Winston-Salem,36.1029,-80.2611,0.8396226415094339
Bonita Springs,26.3559,-81.7861,0.7830188679245282
Indio,33.7346,-116.2346,1.1037735849056602
Palm Coast,29.5392,-81.246,0.7830188679245282
Chattanooga,35.0657,-85.2488,0.7924528301886792
Spokane,47.6671,-117.433,1.0566037735849056
Syracuse,43.0409,-76.1438,1
Lancaster,34.6935,-118.1753,1.1037735849056602
Arlington,32.6998,-97.125,0.8679245283018867
Stockton,37.9765,-121.3109,1.1037735849056602
Poughkeepsie,41.6949,-73.921,1
Augusta,33.3645,-82.0708,0.8207547169811321
Boise,43.6007,-116.2312,1
Oxnard,34.1963,-119.1815,1.1037735849056602
Scranton,41.4044,-75.6649,1.009433962264151
Modesto,37.6374,-121.0028,1.1037735849056602
Kissimmee,28.3042,-81.4164,0.7830188679245282
Aurora,39.7087,-104.7273,0.9622641509433961
Youngstown,41.0993,-80.6463,1.009433962264151
Fayetteville,35.0846,-78.9776,0.8396226415094339
Anaheim,33.839,-117.8572,1.1037735849056602
Pensacola,30.4427,-87.1886,0.7830188679245282
Victorville,34.5277,-117.3536,1.1037735849056602
Greensboro,36.0956,-79.8269,0.8396226415094339
Corpus Christi,27.726,-97.3755,0.8207547169811321
Fort Wayne,41.0886,-85.1437,0.8207547169811321
Santa Ana,33.7366,-117.8819,1.1037735849056602
Flint,43.0235,-83.6922,0.9811320754716981
Jackson,32.3163,-90.2124,0.8490566037735849
Santa Rosa,38.4458,-122.7067,1.1037735849056602
Lansing,42.7142,-84.5601,0.9811320754716981
San Juan,18.4037,-66.0636,0.8207547169811321
Lexington,38.0423,-84.4587,0.8207547169811321
Ann Arbor,42.2755,-83.7312,0.9811320754716981
Henderson,36.0133,-115.038,1.1132075471698113
Huntsville,34.6988,-86.6412,0.8113207547169811
Mobile,30.6783,-88.1162,0.8113207547169811
Fort Collins,40.5478,-105.0656,0.9622641509433961
Asheville,35.5704,-82.5536,0.8396226415094339
Santa Clarita,34.4175,-118.4964,1.1037735849056602
St. Paul,44.9477,-93.104,1.028301886792453
Antioch,37.9789,-121.7958,1.1037735849056602
Lakeland,28.0556,-81.9545,0.7830188679245282
Trenton,40.2236,-74.7641,1.1037735849056602
Lincoln,40.809,-96.6788,0.8773584905660378
Sung Eel MCC-Endicott,42.10454976,-76.04442956,1
Battery Resourcers-Covington,33.60025094,-83.86304252,0.8207547169811321
Li-Cycle-Tuscaloosa,33.39054306,-87.6107107,0.8113207547169811
Li-Cycle-Gilbert,33.33096888,-111.693492,0.8773584905660378
ABTC-Fernley,39.61304429,-119.2513966,1.1132075471698113
LiNiCoComstock-McCarran,39.52810644,-119.4909157,1.1132075471698113
OnTo Tech-Bend,44.09565694,-121.305861,1.0566037735849056
Redwood Mat-Carson City,39.19972977,-119.735956,1.1132075471698113
Retriev-Lancaster,39.71362202,-82.54437661,0.8773584905660378
