name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5
"Gardner, MA",42.5750883,-71.998133,0.677,0.6735,0.656,0.627,0.5925
"Leominster, MA",42.5250906,-71.759794,1.364,1.357,1.3215,1.2635,1.1935
"Dubuque, IA",42.5005583,-90.6645718,0.8245,0.8205,0.7985,0.7635,0.7215
"Fort Dodge, IA",42.4974694,-94.1680158,0.3605,0.359,0.3495,0.334,0.3155
"Waterloo, IA",42.4927641,-92.3429631,0.9785,0.9735,0.948,0.9065,0.856
"Ithaca, NY",42.4406284,-76.4966071,0.381,0.379,0.369,0.353,0.3335
"Corning, NY",42.1428521,-77.0546903,0.142,0.141,0.1375,0.1315,0.124
"Dunkirk, NY",42.4795019,-79.3339324,0.1595,0.1585,0.1545,0.1475,0.1395
"Jamestown, NY",42.0970023,-79.2353259,0.395,0.3935,0.383,0.366,0.346
"Sioux City, IA",42.4999942,-96.4003069,1.183,1.177,1.146,1.0955,1.035
"Northampton, MA",42.3250896,-72.6412013,0.9555,0.9505,0.9255,0.885,0.836
"Olean, NY",42.077565,-78.4297419,0.1835,0.1825,0.1775,0.17,0.1605
"Boston, MA",42.3584308,-71.0597732,20.667,20.564,20.022,19.1415,18.084
"Chelsea, MA",42.3917638,-71.0328284,1.177,1.1715,1.1405,1.0905,1.03
"Revere, MA",42.4084302,-71.0119948,1.732,1.7235,1.678,1.604,1.5155
"Ypsilanti, MI",42.2411499,-83.6129939,0.672,0.6685,0.651,0.6225,0.588
"Binghamton, NY",42.0986867,-75.9179738,0.601,0.598,0.5825,0.557,0.526
"Quincy, MA",42.2528772,-71.0022705,3.088,3.0725,2.9915,2.86,2.702
"Chicopee, MA",42.1487043,-72.6078672,1.8505,1.8415,1.7925,1.714,1.619
"Westfield, MA",42.1250929,-72.749538,1.375,1.3685,1.332,1.2735,1.2035
"West Springfield, MA",42.10702155,-72.63512522,0.95,0.9455,0.9205,0.88,0.8315
"Holyoke, MA",42.2042587,-72.6162009,1.3345,1.328,1.293,1.236,1.1675
"Springfield, MA",42.1014831,-72.589811,5.122,5.0965,4.962,4.744,4.482
"Brockton, MA",42.0834335,-71.0183787,3.1395,3.1235,3.0415,2.9075,2.747
"Cedar Rapids, IA",42.0083328,-91.6440683,1.807,1.798,1.7505,1.6735,1.581
"Elmira, NY",42.0897965,-76.8077338,0.3705,0.3685,0.359,0.343,0.324
"Erie, PA",42.1292241,-80.085059,3.307,3.2905,3.204,3.063,2.894
"Carroll, IA",42.0658184,-94.8669304,0.1445,0.144,0.14,0.134,0.1265
"Kingston, NY",41.9270367,-73.9973608,0.303,0.3015,0.2935,0.281,0.2655
"Chicago, IL",41.850033,-87.6500523,45.311,45.085,43.8965,41.9655,39.6475
"Campton Hills, IL",41.93749,-88.397849,0.187,0.186,0.1815,0.1735,0.1635
"Attleboro, MA",41.9445441,-71.2856082,1.459,1.4515,1.4135,1.351,1.2765
"Fall River, MA",41.7014912,-71.1550451,2.9735,2.9585,2.8805,2.754,2.602
"Beacon, NY",41.5048159,-73.9695832,0.197,0.196,0.191,0.1825,0.1725
"Poughkeepsie, NY",41.7003713,-73.9209701,0.4155,0.4135,0.4025,0.385,0.3635
"East Hartford, CT",41.7823216,-72.6120346,1.8265,1.8175,1.7695,1.6915,1.5985
"Clinton, IA",41.8444735,-90.1887379,0.3845,0.3825,0.3725,0.356,0.3365
"Iowa City, IA",41.6611277,-91.5301683,0.9705,0.966,0.9405,0.899,0.8495
"Eastlake, OH",41.6539359,-81.4503924,0.297,0.2955,0.288,0.275,0.26
"Mentor, OH",41.6661573,-81.339552,0.7545,0.7505,0.7305,0.6985,0.66
"Painesville, OH",41.7244885,-81.245657,0.313,0.3115,0.303,0.29,0.274
"Wickliffe, OH",41.6053266,-81.4534492,0.204,0.203,0.1975,0.189,0.1785
"Willoughby, OH",41.6397696,-81.4065011,0.356,0.3545,0.345,0.33,0.3115
"Willowick, OH",41.6331034,-81.4687274,0.2265,0.2255,0.2195,0.21,0.1985
"Meadville, PA",41.6414438,-80.1514484,0.435,0.433,0.4215,0.403,0.3805
"Maumee, OH",41.5628294,-83.6538244,0.2285,0.2275,0.2215,0.2115,0.2
"Oregon, OH",41.6436603,-83.4868768,0.3245,0.323,0.3145,0.3005,0.284
"Toledo, OH",41.6639383,-83.555212,4.594,4.571,4.4505,4.2545,4.0195
"Darien, CT",41.0787079,-73.4692873,0.739,0.735,0.716,0.6845,0.6465
"East Haven, CT",41.2762081,-72.8684337,1.0425,1.0375,1.01,0.9655,0.9125
"Middletown, NY",41.4459271,-74.4229341,0.3565,0.3545,0.3455,0.33,0.312
"Newburgh, NY",41.5034271,-74.0104179,0.3665,0.3645,0.355,0.3395,0.3205
"Berea, OH",41.3661614,-81.8543026,0.3055,0.304,0.296,0.283,0.267
"Brecksville, OH",41.3197763,-81.6267904,0.2185,0.2175,0.2115,0.2025,0.191
"Broadview Heights, OH",41.3139426,-81.6851271,0.3105,0.3085,0.3005,0.2875,0.2715
"Brooklyn, OH",41.4397736,-81.7354098,0.1785,0.178,0.173,0.1655,0.1565
"Brook Park, OH",41.3983838,-81.8045788,0.3075,0.306,0.2975,0.2845,0.269
"Cleveland, OH",41.4994954,-81.6954088,6.347,6.315,6.1485,5.8785,5.5535
"Cleveland Heights, OH",41.5200518,-81.556235,0.7375,0.734,0.7145,0.683,0.6455
"East Cleveland, OH",41.5331066,-81.5790137,0.2855,0.284,0.2765,0.2645,0.2495
"Euclid, OH",41.5931049,-81.5267873,0.7825,0.7785,0.758,0.7245,0.6845
"Fairview Park, OH",41.4414366,-81.8643039,0.269,0.268,0.2605,0.2495,0.2355
"Garfield Heights, OH",41.4169974,-81.6059581,0.4615,0.459,0.447,0.4275,0.404
"Lakewood, OH",41.4819932,-81.7981908,0.834,0.8295,0.808,0.7725,0.7295
"Lyndhurst, OH",41.5200523,-81.4887315,0.224,0.223,0.217,0.2075,0.196
"Maple Heights, OH",41.4153313,-81.565956,0.37,0.368,0.3585,0.343,0.324
"Mayfield Heights, OH",41.5192189,-81.457896,0.3065,0.305,0.297,0.284,0.268
"Middleburg Heights, OH",41.3614401,-81.812912,0.255,0.254,0.247,0.236,0.223
"Saint Marys, PA",41.4278393,-78.5608556,0.4245,0.4225,0.4115,0.3935,0.3715
"Bowling Green, OH",41.3747744,-83.6513229,0.4805,0.478,0.4655,0.445,0.4205
"Perrysburg, OH",41.556996,-83.627157,0.33,0.328,0.3195,0.3055,0.2885
"Williamsport, PA",41.2411897,-77.0010787,0.9545,0.95,0.925,0.884,0.8355
"Amherst, OH",41.3978217,-82.2223775,0.1925,0.1915,0.1865,0.178,0.168
"Avon, OH",41.4517093,-82.0354225,0.339,0.3375,0.3285,0.314,0.2965
"Avon Lake, OH",41.5053178,-82.0282001,0.361,0.3595,0.35,0.3345,0.316
"Elyria, OH",41.3683798,-82.1076486,0.872,0.868,0.845,0.808,0.763
"Lorain, OH",41.452819,-82.1823746,1.025,1.02,0.993,0.9495,0.897
"North Ridgeville, OH",41.3894905,-82.0190321,0.4715,0.469,0.4565,0.4365,0.4125
"Indianola, IA",41.3580484,-93.5574376,0.2115,0.2105,0.205,0.196,0.185
"Oskaloosa, IA",41.296395,-92.6443593,0.164,0.163,0.159,0.152,0.1435
"Warren, OH",41.2375569,-80.8184166,0.6645,0.6615,0.644,0.6155,0.5815
"Fremont, OH",41.3503303,-83.1218634,0.2675,0.2665,0.2595,0.248,0.234
"Uniontown, PA",39.900076,-79.7164326,0.337,0.3355,0.3265,0.312,0.295
"Philadelphia, PA",39.952335,-75.163789,49.583,49.3355,48.035,45.9225,43.3855
"Chester, PA",39.849557,-75.3557458,1.104,1.0985,1.0695,1.0225,0.966
"Darby, PA",39.9184461,-75.2590721,0.347,0.3455,0.3365,0.3215,0.304
"Lansdowne, PA",39.9381682,-75.2718507,0.345,0.3435,0.3345,0.3195,0.302
"Yeadon, PA",39.9390017,-75.2554605,0.372,0.37,0.36,0.3445,0.3255
"Lindenwold, NJ",39.8242808,-74.9976673,0.708,0.7045,0.686,0.6555,0.6195
"Bellmawr, NJ",39.8676134,-75.0946183,0.4655,0.463,0.451,0.431,0.4075
"Hermitage, PA",41.2333897,-80.44868,0.527,0.5245,0.5105,0.488,0.461
"Hazleton, PA",40.9584181,-75.9746472,0.8235,0.819,0.7975,0.7625,0.7205
"Kingston, PA",41.2617481,-75.8968635,0.4285,0.426,0.415,0.3965,0.375
"Nanticoke, PA",41.2053599,-76.004923,0.34,0.3385,0.3295,0.315,0.2975
"Wilkes-Barre, PA",41.2459149,-75.8813075,1.3485,1.3415,1.3065,1.249,1.18
"Mount Vernon, NY",40.9125992,-73.8370786,0.854,0.8495,0.8275,0.791,0.747
"New Rochelle, NY",40.9114882,-73.7823549,0.978,0.973,0.9475,0.9055,0.8555
"Peekskill, NY",41.2900939,-73.9204158,0.2995,0.298,0.29,0.277,0.262
"Rye, NY",40.9806536,-73.6837399,0.1995,0.1985,0.1935,0.185,0.1745
"Akron, OH",41.0814447,-81.5190053,3.1845,3.169,3.0855,2.9495,2.7865
"Barberton, OH",41.012833,-81.6051221,0.4245,0.4225,0.4115,0.3935,0.3715
"Cuyahoga Falls, OH",41.1339449,-81.4845585,0.794,0.79,0.7695,0.7355,0.695
"Macedonia, OH",41.3136664,-81.5084499,0.179,0.178,0.1735,0.1655,0.1565
"Norton, OH",41.0292217,-81.6381795,0.1935,0.1925,0.1875,0.179,0.169
"Stow, OH",41.1595005,-81.4403898,0.557,0.5545,0.54,0.516,0.4875
"Tallmadge, OH",41.1014451,-81.441779,0.2805,0.279,0.2715,0.26,0.2455
"Twinsburg, OH",41.3125552,-81.4401129,0.3005,0.299,0.291,0.2785,0.263
"Aurora, OH",41.3175549,-81.3453858,0.2485,0.2475,0.241,0.2305,0.2175
"Streetsboro, OH",41.2392227,-81.3459405,0.2565,0.255,0.2485,0.2375,0.2245
"Bloomsburg, PA",41.003698,-76.4549457,0.4825,0.4805,0.4675,0.447,0.4225
"Norwalk, OH",41.2425531,-82.6157331,0.272,0.2705,0.2635,0.252,0.238
"Fostoria, OH",41.156998,-83.4168702,0.215,0.214,0.2085,0.199,0.188
"Tiffin, OH",41.1144992,-83.1779747,0.2875,0.286,0.2785,0.266,0.2515
"State College, PA",40.793395,-77.8600013,1.366,1.359,1.323,1.265,1.195
"Pompton Lakes, NJ",41.0053753,-74.2907042,0.446,0.444,0.432,0.413,0.3905
"Ringwood, NJ",41.113429,-74.2454254,0.4915,0.489,0.476,0.455,0.43
"Passaic, NJ",40.8567663,-74.1284764,2.8045,2.7905,2.717,2.5975,2.454
"Paterson, NJ",40.9167654,-74.171811,5.876,5.847,5.6925,5.4425,5.1415
"Totowa, NJ",40.9050988,-74.2098679,0.434,0.432,0.4205,0.402,0.38
"Wanaque, NJ",41.0381526,-74.2940378,0.447,0.4445,0.433,0.414,0.391
"Woodland Park, NJ",40.8898212,-74.1948674,0.475,0.4725,0.46,0.44,0.4155
"Butler, PA",40.8611755,-79.8953328,0.447,0.445,0.433,0.414,0.391
"Findlay, OH",41.0442201,-83.6499321,0.659,0.6555,0.6385,0.6105,0.5765
"Bergenfield, NJ",40.9275987,-73.9973608,1.0755,1.0705,1.042,0.9965,0.9415
"Ramsey, NJ",41.0573188,-74.1409771,0.5815,0.579,0.5635,0.539,0.509
"Ridgefield, NJ",40.8342669,-74.0087505,0.4435,0.441,0.4295,0.4105,0.388
"Ridgefield Park, NJ",40.8570442,-74.0215285,0.5115,0.509,0.4955,0.474,0.4475
"Ridgewood, NJ",40.9792645,-74.1165313,1.003,0.998,0.972,0.929,0.8775
"River Edge, NJ",40.9287098,-74.0398622,0.456,0.4535,0.4415,0.422,0.399
"Rutherford, NJ",40.826489,-74.1068091,0.726,0.7225,0.7035,0.6725,0.635
"New Milford, NJ",40.9350986,-74.0190281,0.657,0.6535,0.6365,0.6085,0.5745
"North Arlington, NJ",40.788434,-74.1331988,0.6185,0.6155,0.5995,0.573,0.5415
"Oakland, NJ",41.0131529,-74.2643143,0.5125,0.51,0.4965,0.475,0.4485
"Palisades Park, NJ",40.8481556,-73.997639,0.7885,0.7845,0.764,0.7305,0.69
"Paramus, NJ",40.9445428,-74.0754189,1.059,1.0535,1.0255,0.9805,0.9265
"Tenafly, NJ",40.9253766,-73.9629154,0.5825,0.5795,0.564,0.5395,0.5095
"Wallington, NJ",40.8531553,-74.1137537,0.4555,0.4535,0.4415,0.422,0.3985
"Westwood, NJ",40.9912087,-74.0326395,0.4385,0.436,0.4245,0.406,0.3835
"New Castle, PA",41.0036719,-80.3470091,0.756,0.7525,0.7325,0.7005,0.6615
"Phillipsburg, NJ",40.6937099,-75.1901761,0.601,0.598,0.582,0.5565,0.526
"Kinnelon, NJ",41.0017644,-74.367096,0.412,0.41,0.399,0.3815,0.3605
"Lincoln Park, NJ",40.9242652,-74.3020933,0.423,0.421,0.4095,0.3915,0.37
"Grand Island, NE",40.9250123,-98.3420068,0.636,0.633,0.616,0.589,0.5565
"Kearney, NE",40.699457,-99.0814767,0.4035,0.4015,0.391,0.374,0.353
"Mansfield, OH",40.75839,-82.5154471,0.765,0.761,0.741,0.7085,0.6695
"Wooster, OH",40.8050565,-81.935143,0.418,0.4155,0.4045,0.387,0.3655
"Alliance, OH",40.9153362,-81.1059309,0.357,0.3555,0.346,0.3305,0.3125
"Canton, OH",40.7989473,-81.378447,1.1675,1.162,1.1315,1.0815,1.022
"Massillon, OH",40.7967244,-81.5215093,0.514,0.5115,0.498,0.476,0.45
"Easton, PA",40.688432,-75.2207323,0.871,0.8665,0.8435,0.8065,0.762
"Bethlehem, PA",40.6259316,-75.3704579,2.4365,2.424,2.3605,2.2565,2.132
"Glen Cove, NY",40.8623217,-73.6337389,0.342,0.3405,0.3315,0.317,0.2995
"Long Beach, NY",40.5884374,-73.657908,0.4225,0.42,0.409,0.391,0.3695
"Indiana, PA",40.6214551,-79.1525349,0.454,0.452,0.44,0.4205,0.3975
"Summit, NJ",40.71864687,-74.36187918,0.8625,0.858,0.8355,0.7985,0.7545
"Watertown, WI",43.1947212,-88.7289918,0.4875,0.485,0.4725,0.4515,0.4265
"Fort Atkinson, WI",42.9288944,-88.8370509,0.2525,0.2515,0.245,0.234,0.221
"Sussex, WI",43.1338972,-88.2220372,0.215,0.214,0.208,0.199,0.188
"Waukesha, WI",43.0116784,-88.2314813,1.445,1.4375,1.4,1.338,1.2645
"Brookfield, WI",43.0605671,-88.1064787,0.775,0.771,0.7505,0.7175,0.678
"Menomonee Falls, WI",43.1788967,-88.1173132,0.728,0.7245,0.705,0.674,0.637
"Muskego, WI",42.905848,-88.1389779,0.493,0.4905,0.4775,0.4565,0.4315
"New Berlin, WI",42.9764027,-88.1084224,0.809,0.8045,0.7835,0.749,0.7075
"Oconomowoc, WI",43.1116731,-88.4992659,0.322,0.3205,0.312,0.298,0.2815
"Pewaukee, WI",43.0647323,-88.243704,0.2695,0.2685,0.261,0.2495,0.236
"Shorewood, WI",43.0891787,-87.8875849,0.269,0.2675,0.2605,0.249,0.2355
"South Milwaukee, WI",42.9105722,-87.8606367,0.4325,0.43,0.419,0.4005,0.378
"Wauwatosa, WI",43.0494572,-88.0075875,0.948,0.943,0.9185,0.878,0.8295
"West Allis, WI",43.0166806,-88.0070315,1.2345,1.228,1.196,1.143,1.08
"Whitefish Bay, WI",43.1133445,-87.9000856,0.2885,0.287,0.2795,0.267,0.2525
"Glendale, WI",43.1352881,-87.9356423,0.263,0.2615,0.255,0.2435,0.23
"Greendale, WI",42.9405711,-87.9959191,0.287,0.2855,0.278,0.266,0.251
"Greenfield, WI",42.9614039,-88.0125865,0.7505,0.7465,0.727,0.695,0.6565
"Brown Deer, WI",43.1633426,-87.9645322,0.245,0.244,0.2375,0.227,0.2145
"Franklin, WI",42.888627,-88.0384195,0.7245,0.7205,0.7015,0.671,0.634
"Cudahy, WI",42.959738,-87.861471,0.373,0.3715,0.3615,0.3455,0.3265
"Milwaukee, WI",43.0389025,-87.9064736,12.1535,12.093,11.774,11.2565,10.6345
"Oak Creek, WI",42.8858503,-87.8631362,0.704,0.7005,0.682,0.652,0.616
"Keene, NH",42.933692,-72.2781409,1.1225,1.117,1.0875,1.0395,0.982
"Yankton, SD",42.8711088,-97.3972813,0.1625,0.1615,0.1575,0.1505,0.142
"Owosso, MI",42.9978049,-84.1766359,0.5255,0.5225,0.509,0.4865,0.4595
"Ionia, MI",42.9872547,-85.0711174,0.394,0.392,0.3815,0.365,0.3445
"Vermillion, SD",42.7794417,-96.9292104,0.119,0.118,0.115,0.11,0.104
"Troy, NY",42.7284117,-73.6917851,0.636,0.633,0.6165,0.589,0.5565
"Mount Clemens, MI",42.5972563,-82.8779754,0.564,0.561,0.5465,0.5225,0.4935
"New Baltimore, MI",42.6811436,-82.7368616,0.418,0.4155,0.4045,0.387,0.3655
"Roseville, MI",42.4972583,-82.9371409,1.635,1.627,1.584,1.5145,1.431
"Saint Clair Shores, MI",42.4969805,-82.8888054,2.0645,2.054,2,1.912,1.8065
"Sterling Heights, MI",42.5803122,-83.0302033,4.484,4.4615,4.344,4.153,3.9235
"East Lansing, MI",42.7369792,-84.4838654,1.6795,1.671,1.627,1.5555,1.4695
"Lansing, MI",42.732535,-84.5555347,3.9515,3.932,3.828,3.66,3.4575
"Pittsfield, MA",42.4500846,-73.2453824,1.497,1.4895,1.4505,1.3865,1.31
"Somerville, MA",42.3875968,-71.0994968,2.535,2.5225,2.456,2.348,2.218
"Woburn, MA",42.4792618,-71.1522766,1.2755,1.2695,1.236,1.1815,1.116
"Arlington, MA",42.4153739,-71.1564428,1.4335,1.4265,1.389,1.328,1.2545
"Belmont, MA",42.3959296,-71.1786655,0.8275,0.8235,0.8015,0.7665,0.724
"Burlington, MA",42.5048167,-71.1956111,0.82,0.8155,0.794,0.7595,0.7175
"Framingham, MA",42.2792625,-71.416172,2.286,2.275,2.215,2.1175,2.0005
"Wilmington, MA",42.5464828,-71.1736669,0.747,0.7435,0.724,0.692,0.6535
"Winchester, MA",42.4523178,-71.1369982,0.7155,0.7115,0.693,0.6625,0.626
"Hudson, MA",42.3917599,-71.5661769,0.499,0.4965,0.4835,0.462,0.4365
"Lexington, MA",42.4473175,-71.2245003,1.0505,1.0455,1.018,0.973,0.9195
"Maynard, MA",42.4334269,-71.449507,0.338,0.3365,0.3275,0.313,0.296
"Webster, MA",42.0500965,-71.880072,0.382,0.38,0.37,0.3535,0.334
"Milford, MA",42.1398188,-71.516174,0.8385,0.8345,0.8125,0.7765,0.7335
"Kenosha, WI",42.5847425,-87.8211854,2.027,2.017,1.964,1.8775,1.774
"Pleasant Prairie, WI",42.5530753,-87.9334118,0.403,0.401,0.3905,0.373,0.3525
"Amherst, MA",42.3753677,-72.519254,0.638,0.635,0.618,0.591,0.558
"Ann Arbor, MI",42.2708716,-83.7263294,3.939,3.9195,3.816,3.648,3.4465
"Jackson, MI",42.245869,-84.4013462,1.1595,1.1535,1.123,1.074,1.0145
"Battle Creek, MI",42.3211522,-85.1797142,1.81,1.8005,1.7535,1.676,1.5835
"Portage, MI",42.2011538,-85.5800022,1.6005,1.5925,1.5505,1.4825,1.4005
"Kalamazoo, MI",42.2917069,-85.5872286,2.5675,2.5545,2.4875,2.378,2.2465
"Brookline, MA",42.3317642,-71.1211635,1.9655,1.9555,1.904,1.8205,1.7195
"Dedham, MA",42.2417653,-71.166164,0.8275,0.8235,0.8015,0.7665,0.724
"Wellesley, MA",42.2964859,-71.2925571,0.9365,0.9315,0.907,0.8675,0.8195
"Holbrook, MA",42.1550999,-71.0086576,0.361,0.3595,0.35,0.3345,0.316
"Longmeadow, MA",42.0500953,-72.5828662,0.528,0.5255,0.5115,0.489,0.462
"Abington, MA",42.1048228,-70.9453218,0.535,0.5325,0.518,0.4955,0.468
"Hull, MA",42.3020436,-70.9078243,0.3445,0.3425,0.3335,0.319,0.3015
"Niles, MI",41.8297694,-86.2541768,0.401,0.399,0.3885,0.3715,0.351
"Benton Harbor, MI",42.1167065,-86.4541894,0.347,0.3455,0.336,0.3215,0.3035
"New Bedford, MA",41.6362152,-70.934205,3.1815,3.1655,3.082,2.9465,2.784
"Taunton, MA",41.900101,-71.0897675,1.87,1.8605,1.8115,1.7315,1.636
"Adrian, MI",41.8975471,-84.0371659,0.7305,0.727,0.708,0.6765,0.6395
"Coldwater, MI",41.9403263,-85.0005215,0.3785,0.3765,0.3665,0.3505,0.331
"Sturgis, MI",41.799217,-85.4191482,0.38,0.378,0.368,0.352,0.3325
"Newington, CT",41.6978777,-72.7237063,1.089,1.084,1.055,1.009,0.953
"West Hartford, CT",41.7620447,-72.7420399,2.255,2.2435,2.1845,2.0885,1.973
"Wethersfield, CT",41.7142665,-72.6525922,0.9505,0.9455,0.921,0.8805,0.8315
"Windsor Locks, CT",41.9292639,-72.6273124,0.4455,0.443,0.4315,0.4125,0.3895
"Storrs, CT",41.8084314,-72.2495231,0.547,0.544,0.53,0.5065,0.4785
"Willimantic, CT",41.7106543,-72.2081338,0.632,0.629,0.6125,0.5855,0.553
"Pawtucket, RI",41.878711,-71.3825558,1.484,1.4765,1.4375,1.3745,1.2985
"Central Falls, RI",41.8906553,-71.3922785,0.404,0.402,0.3915,0.3745,0.3535
"Cranston, RI",41.7798226,-71.4372796,1.6765,1.668,1.624,1.5525,1.467
