name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27,amount 28
McLean County,37.49153121,-87.22032662,4.640878896081269e-07,6.297653648920526e-07,1.3113909189690092e-06,2.5663396905128125e-06,4.7540399343048674e-06,8.391164667029606e-06,1.4193358965496728e-05,2.311976494931965e-05,3.641710628984747e-05,5.565765262265282e-05,8.276173660157192e-05,0.0001199903994899,0.0001698872115434,0.0002351409847456,0.000567818318551,0.0004028019216141,0.0005237059758941,0.0013820165879815,0.0007376576415957,0.000899284386219,0.00142739971203,0.0017099249122931,0.0011931920503215,0.0040439487418686,0.0007786934796949,0.000904624356842,0.0028132260574999,0.0010098573993919
Jessamine County,37.83050346,-84.51931615,2.95029602896457e-06,4.572369004953854e-06,9.920739009632928e-06,1.99342879992383e-05,3.757810388310805e-05,6.713722613933425e-05,0.0001145964682457,0.0001880692545607,0.0002982572897615,0.000458903313942,0.0006871691407755,0.0010038281748642,0.0014331051018165,0.0020019297305804,0.0029911760569597,0.0036495135535155,0.0047904022322017,0.0068807273445243,0.0076434502444775,0.0093902731857266,0.020733737832566,0.0258798251803639,0.0105894704869164,0.0284141937993682,0.0106025638615359,0.0126571721290811,0.0248715596650518,0.0145328925559791
San Diego,33.03174695,-116.7176058,0.009614651561214913,0.0062364090266054,0.0094198130031097,0.0138391124570901,0.0198206517597656,0.0277163812870618,0.0378762748528492,0.0506057137806699,0.0661081164903191,0.7921890153031839,0.0369791474284562,0.0779683142900062,0.0960930512488891,0.0825993127081479,0.3698701328169508,0.1191770338354347,0.1507087870103479,0.9376845789609104,0.1332804244082074,0.1627048244039381,0.386958147496459,0.4836354554230533,0.1620199741836827,0.369459641552655,0.1708625436113056,0.1946256237308649,0.3292616756221829,0.2021383806765845
Knott County,37.37099172,-82.8503912,1.6819692573906187e-07,2.324046238611156e-07,4.90093090631954e-07,9.701771869985533e-07,1.8154801350702585e-06,3.232670414531615e-06,5.509606028620308e-06,9.034005973966873e-06,1.431221420921473e-05,2.19858622132767e-05,3.284278719134156e-05,4.7816510909633655e-05,6.796590570658665e-05,9.442356831715916e-05,0.0002203519243268,0.0001636015910088,0.0002134514828978,0.0005365804427624,0.0003064316774825,0.0003746063262245,0.0005398879796499,0.0006388676877089,0.0005222506188434,0.0017778866951385,0.0003013236339235,0.0003049617283728,0.0010492322237386,4.865201472372968e-05
Cuyahoga County,41.28166353,-81.83937601,0.00025082562318865767,0.0001909999274085,0.0003059523876515,0.000474676178108,0.00071576623943,0.0010516841359941,0.0015084893523697,0.002114956563128,0.0029008735260001,0.0040921214347351,0.0050992813407279,0.0233089986598475,0.025395909233292,0.0056711510457131,0.0232480348092204,0.0085459783284456,0.0109340006747069,0.0589013967942523,0.011245806097447,0.0138962830035292,0.0255649802581844,0.0315024496158246,0.0183811681903408,0.0505505403927898,0.0167887563297361,0.0193007834540654,0.0401306451129575,0.0189171111216022
Delaware County,40.17734323,-82.81856565,0.0015947423823848587,0.0010654540383568,0.0016210365117965,0.0023936211032352,0.0034390718227204,0.0048164162033948,0.0065823905163183,0.0087830474878958,0.0114422866955741,0.1002361763616889,0.0097621396550655,0.0474260949983584,0.0512024004350514,0.0091560894366421,0.0476848771598407,0.0127474773447119,0.0162418297267143,0.1227783760216371,0.0124018793031659,0.0160479924876056,0.0305252603874339,0.0391351829905689,0.0268485162739249,0.0520534201071675,0.0379293242957438,0.0476676937499813,0.0702296935357157,0.0682569120168049
Greene County,39.78941957,-83.9413805,0.00019968686917424356,0.0001366243336156,0.0002101862141717,0.0003139507779662,0.0004565533849195,0.0006476568364621,0.000897409558203,0.0012155249945045,0.0016099372998504,0.0115173698641222,0.0017290144354852,0.007523049820418,0.0082323279272463,0.0020599958025125,0.010505857513635,0.002907170928842,0.0037116709219401,0.0270335875667292,0.0029611772250173,0.0037900969762254,0.0058158608077555,0.0072563524715375,0.0064944854842705,0.0114157869166946,0.0081884222512058,0.0095624970242651,0.0133184086539356,0.0119954304516063
Clermont County,39.20877458,-84.23150769,8.116485396003203e-05,6.39574095696974e-05,0.0001051792739911,0.0001688532749019,0.0002656253119272,0.0004103352425525,0.0006231192170768,0.0009305671708802,0.0013668674003075,0.0019748630663495,0.0028069537349351,0.0090827284063489,0.010677753705919,0.0059291059024063,0.0171790110130373,0.0107183006524609,0.0145248905065351,0.0448066483870673,0.0220400501481455,0.0286563271584478,0.0378735873371719,0.0472076203525645,0.0542541460858172,0.067072961370506,0.0733347937485825,0.0821753748570869,0.0912046715309497,0.0941541980413653
Allegheny County,40.37731547,-79.86635294,0.0005365598523488399,0.0004028601083249,0.0006401916413449,0.0009844179778584,0.0014698752971799,0.0021366886999033,0.0030295218563889,0.0041949660208367,0.0056771779986326,0.0103985804862687,0.0094377667275003,0.0455371701776883,0.0491548492377913,0.0088436048362097,0.0479533327945767,0.0119196319374093,0.0150063681586336,0.1231675515301599,0.0095344178956325,0.0120776194909361,0.0232405621267809,0.0293183037362582,0.017951317154243,0.0349802851774068,0.0230713126019736,0.0278459686538034,0.0413083793771205,0.0365392194054994
Upshur County,38.8763551,-80.19443111,4.982788222827828e-05,5.600634135091568e-05,0.000104232943185,0.0001838841151199,0.0003100213768203,0.0005026685814593,0.0007876767764021,0.0011974486545856,0.0017713198165122,0.0025552814242998,0.0036005848263343,0.0049606090643462,0.006685240649227,0.0088120014397896,0.0502242071066429,0.011360525480933,0.0140692580668088,0.1286610355646542,0.0064208554415217,0.0078098672386662,0.0194002414502792,0.0242925143896606,0.007255834347884,0.0174832836278903,0.0076326927847795,0.0089154734088466,0.0158532046955788,0.0100275141852944
